match_no,play_stage,play_date,results,decided_by,goal_score,venue_id,referee_id,audence,plr_of_match,stop1_sec,stop2_sec
1,G,6/11/2016,WIN,N,1-2,20008,70007,75113,160154,131,242
2,G,6/11/2016,WIN,N,0-1,20002,70012,33805,160476,61,182
3,G,6/11/2016,WIN,N,1-2,20001,70017,37831,160540,64,268
4,G,6/12/2016,DRAW,N,1-1,20005,70011,62343,160128,0,185
5,G,6/12/2016,WIN,N,0-1,20007,70006,43842,160084,125,325
6,G,6/12/2016,WIN,N,1-0,20006,70014,33742,160291,2,246
7,G,6/13/2016,WIN,N,2-0,20003,70002,43035,160176,89,188
8,G,6/13/2016,WIN,N,1-0,20010,70009,29400,160429,360,182
9,G,6/13/2016,DRAW,N,1-1,20008,70010,73419,160335,67,194
10,G,6/14/2016,WIN,N,0-2,20004,70005,55408,160244,63,189
11,G,6/14/2016,WIN,N,0-2,20001,70018,34424,160197,61,305
12,G,6/15/2016,DRAW,N,1-1,20009,70004,38742,160320,15,284
13,G,6/15/2016,WIN,N,2-1,20003,70001,38989,160405,62,189
14,G,6/15/2016,DRAW,N,1-1,20007,70015,43576,160477,74,206
15,G,6/16/2016,WIN,N,2-0,20005,70013,63670,160154,71,374
16,G,6/16/2016,WIN,N,1-2,20002,70003,34033,160540,62,212
17,G,6/16/2016,WIN,N,0-2,20004,70016,51043,160262,7,411
18,G,6/17/2016,DRAW,N,0-0,20008,70008,73648,160165,6,208
19,G,6/17/2016,WIN,N,1-0,20010,70007,29600,160248,2,264
20,G,6/17/2016,DRAW,N,2-2,20009,70005,38376,160086,71,280
21,G,6/18/2016,WIN,N,3-0,20006,70010,33409,160429,84,120
22,G,6/18/2016,WIN,N,3-0,20001,70004,39493,160064,11,180
23,G,6/18/2016,DRAW,N,1-1,20005,70015,60842,160230,61,280
24,G,6/19/2016,DRAW,N,0-0,20007,70011,44291,160314,3,200
25,G,6/20/2016,WIN,N,0-1,20004,70016,49752,160005,125,328
26,G,6/20/2016,DRAW,N,0-0,20003,70001,45616,160463,60,122
27,G,6/21/2016,WIN,N,0-3,20010,70006,28840,160544,62,119
28,G,6/21/2016,DRAW,N,0-0,20009,70012,39051,160392,62,301
29,G,6/21/2016,WIN,N,0-1,20005,70017,58874,160520,29,244
30,G,6/21/2016,WIN,N,0-1,20007,70018,44125,160177,21,195
31,G,6/22/2016,WIN,N,0-2,20002,70013,32836,160504,60,300
32,G,6/22/2016,WIN,N,1-2,20001,70008,37245,160085,70,282
33,G,6/22/2016,WIN,N,1-2,20008,70009,68714,160220,7,244
34,G,6/22/2016,DRAW,N,3-3,20004,70002,55514,160322,70,185
35,G,6/23/2016,WIN,N,0-1,20003,70014,44268,160333,79,221
36,G,6/23/2016,WIN,N,0-1,20006,70003,34011,160062,63,195
37,R,6/25/2016,WIN,P,1-1,20009,70005,38842,160476,126,243
38,R,6/25/2016,WIN,N,1-0,20007,70002,44342,160547,5,245
39,R,6/26/2016,WIN,N,0-1,20002,70012,33523,160316,61,198
40,R,6/26/2016,WIN,N,1-2,20004,70011,56279,160160,238,203
41,R,6/26/2016,WIN,N,3-0,20003,70009,44312,160173,62,124
42,R,6/27/2016,WIN,N,0-4,20010,70010,28921,160062,3,133
43,R,6/27/2016,WIN,N,2-0,20008,70004,76165,160235,63,243
44,R,6/28/2016,WIN,N,2-1,20006,70001,33901,160217,5,199
45,Q,7/1/2016,WIN,P,1-1,20005,70003,62940,160316,58,181
46,Q,7/2/2016,WIN,N,1-3,20003,70001,45936,160550,14,182
47,Q,7/3/2016,WIN,P,1-1,20001,70007,38764,160163,63,181
48,Q,7/4/2016,WIN,N,2-5,20008,70008,76833,160159,16,125
49,S,7/7/2016,WIN,N,2-0,20004,70006,55679,160322,2,181
50,S,7/8/2016,WIN,N,2-0,20005,70011,64078,160160,126,275
51,F,7/11/2016,WIN,N,1-0,20008,70005,75868,160307,161,181
