player_id,team_id,jersey_no,player_name,posi_to_play,dt_of_bir,age,playing_club
160001,1201,1,Etrit Berisha,GK,1989-03-10,27,Lazio
160008,1201,2,Andi Lila,DF,1986-02-12,30,Giannina
160016,1201,3,Ermir Lenjani,MF,1989-08-05,26,Nantes
160007,1201,4,Elseid Hysaj,DF,1994-02-20,22,Napoli
160013,1201,5,Lorik Cana,MF,1983-07-27,32,Nantes
160010,1201,6,Frederic Veseli,DF,1992-11-20,23,Lugano
160004,1201,7,Ansi Agolli,DF,1982-10-11,33,Qarabag
160012,1201,8,Migjen Basha,MF,1987-01-05,29,Como
160017,1201,9,Ledian Memushaj,MF,1986-12-17,29,Pescara
160023,1201,10,Armando Sadiku,FD,1991-05-27,25,Vaduz
160022,1201,11,Shkelzen Gashi,FD,1988-07-15,27,Colorado
160003,1201,12,Orges Shehi,GK,1977-09-25,38,Skenderbeu
160015,1201,13,Burim Kukeli,MF,1984-01-16,32,Zurich
160019,1201,14,Taulant Xhaka,MF,1991-03-28,25,Basel
160009,1201,15,Mergim Mavraj,DF,1986-06-09,30,Koln
160021,1201,16,Sokol Cikalleshi,FD,1990-07-27,25,Istanbul Basaksehir
160006,1201,17,Naser Aliji,DF,1993-12-27,22,Basel
160005,1201,18,Arlind Ajeti,DF,1993-09-25,22,Frosinone
160020,1201,19,Bekim Balaj,FD,1991-01-11,25,Rijeka
160014,1201,20,Ergys Kace,MF,1993-07-08,22,PAOK
160018,1201,21,Odise Roshi,MF,1991-05-22,25,Rijeka
160011,1201,22,Amir Abrashi,MF,1990-03-27,26,Freiburg
160002,1201,23,Alban Hoxha,GK,1987-11-23,28,Partizani
160024,1202,1,Robert Almer,GK,1984-03-20,32,Austria Wien
160036,1202,2,Gyorgy Garics,MF,1984-03-08,32,Darmstadt
160027,1202,3,Aleksandar Dragovic,DF,1991-03-06,25,Dynamo Kyiv
160029,1202,4,Martin Hinteregger,DF,1992-09-07,23,Monchengladbach
160028,1202,5,Christian Fuchs,DF,1986-04-07,30,Leicester
160038,1202,6,Stefan Ilsanker,MF,1989-05-18,27,Leipzig
